AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Premis Desc,Weapon Desc,Status Desc,LOCATION,Cross Street,Month
Central,KIDNAPPING - GRAND ATTEMPT,18.0,F,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,COTTAGE HOME,BROADWAY,04
Central,CRIMINAL HOMICIDE,41.0,M,SIDEWALK,UNKNOWN FIREARM,Adult Arrest,500 S  LOS ANGELES                  ST,,04
Central,THEFT PLAIN - ATTEMPT,,M,STREET,,Invest Cont,7TH,OLIVE,04
Central,ATTEMPTED ROBBERY,18.0,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,COLLEGE,YALE,04
Central,ATTEMPTED ROBBERY,56.0,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800 N  SPRING                       ST,,04
Central,ROBBERY,39.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,6TH,MAPLE,04
Central,INTIMATE PARTNER - AGGRAVATED ASSAULT,36.0,F,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7TH,CENTRAL                      AV,04
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,M,STREET,,Invest Cont,1ST,MAIN                         ST,04
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41.0,M,OTHER PREMISE,OTHER KNIFE,Adult Other,500 S  SAN PEDRO                    ST,,04
Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,20.0,M,SIDEWALK,VERBAL THREAT,Invest Cont,CESAR E CHAVEZ               BL,SPRING                       ST,04
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",42.0,F,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH,CERES                        AV,04
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),9.0,M,SIDEWALK,,Invest Cont,500 S  HILL                         ST,,04
Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,22.0,M,SIDEWALK,VERBAL THREAT,Invest Cont,CESAR E CHAVEZ               BL,SPRING                       ST,04
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",48.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH,CERES                        AV,04
Central,INTIMATE PARTNER - SIMPLE ASSAULT,34.0,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,500    WALL                         ST,,04
Central,INTIMATE PARTNER - SIMPLE ASSAULT,38.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,500    WALL                         ST,,04
Central,INTIMATE PARTNER - SIMPLE ASSAULT,31.0,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7TH                          ST,MATEO                        ST,04
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22.0,M,BAR/COCKTAIL/NIGHTCLUB,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,400    GIN LING                     WY,,04
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",28.0,F,OTHER PREMISE,OTHER KNIFE,Invest Cont,600 S  SAN PEDRO                    ST,,04
Central,INTIMATE PARTNER - SIMPLE ASSAULT,29.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600 S  SPRING                       ST,,04
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",33.0,M,OTHER PREMISE,OTHER KNIFE,Invest Cont,600 S  SAN PEDRO                    ST,,04
Central,"THEFT, PERSON",60.0,M,STREET,,Invest Cont,1ST,BROADWAY,04
Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23.0,M,DEPARTMENT STORE,,Adult Arrest,700 W  7TH                          ST,,04
Central,INTIMATE PARTNER - SIMPLE ASSAULT,23.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600 S  SPRING                       ST,,04
Central,INTIMATE PARTNER - SIMPLE ASSAULT,28.0,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,HILL                         ST,WASHINGTON                   BL,04
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),23.0,M,PARKING LOT,,Invest Cont,300 S  SPRING                       ST,,04
Central,INTIMATE PARTNER - SIMPLE ASSAULT,37.0,F,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 S  SAN JULIAN                   ST,,04
Hollenbeck,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,M,OTHER BUSINESS,,Invest Cont,200 E  BOYLE                        ST,,04
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),9.0,F,SIDEWALK,,Invest Cont,9TH,MAIN                         ST,04
Central,BATTERY - SIMPLE ASSAULT,39.0,M,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,700 S  FIGUEROA                     ST,,05
Central,INTIMATE PARTNER - SIMPLE ASSAULT,47.0,F,OTHER BUSINESS,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,300 W  5TH                          ST,,05
Central,TRESPASSING,54.0,M,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,Invest Cont,200 S  MAIN                         ST,,05
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20.0,M,PARKING LOT,SWITCH BLADE,Adult Arrest,OLIVE                        ST,9TH                          ST,05
Central,BOMB SCARE,9.0,M,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",VERBAL THREAT,Invest Cont,200 N  SPRING                       ST,,05
Central,BATTERY - SIMPLE ASSAULT,34.0,F,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7TH                          ST,CERES,05
Central,BURGLARY,,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,1100 S  GRAND                        AV,,05
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,M,OTHER BUSINESS,,Adult Arrest,700 W  7TH                          ST,,05
Central,BATTERY - SIMPLE ASSAULT,21.0,M,ALLEY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,BROADWAY,SPRING                       ST,05
Central,ROBBERY,48.0,M,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,6TH,BROADWAY,05
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",23.0,M,RESTAURANT/FAST FOOD,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,900 E  6TH                          ST,,05
Central,OTHER MISCELLANEOUS CRIME,9.0,M,STREET,,Invest Cont,ALAMEDA,COMMERCIAL,05
