,Date Rptd,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status Desc,LOCATION,Cross Street
2592,5/13/2010 0:00,Central,DOCUMENT FORGERY / STOLEN FELONY,40,F,O,BANK,,Invest Cont,600    WILSHIRE                     BL,
2593,5/13/2010 0:00,Central,THEFT OF IDENTITY,0,F,W,OTHER BUSINESS,,Invest Cont,700 S  FLOWER                       ST,
2594,5/13/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),47,M,W,STREET,,Invest Cont,ALAMEDA,TEMPLE
2595,5/13/2010 0:00,Central,OTHER MISCELLANEOUS CRIME,0,M,H,STREET,,Adult Arrest,200 E  6TH                          ST,
2596,5/13/2010 0:00,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",26,F,H,HOSPITAL,,Invest Cont,1400 S  GRAND                        AV,
2597,5/13/2010 0:00,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,F,H,DEPARTMENT STORE,,Adult Arrest,100 W  7TH                          ST,
2598,5/13/2010 0:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",54,M,W,STREET,VEHICLE,Invest Cont,300 W  2ND                          ST,
2599,5/13/2010 0:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,B,SIDEWALK,OTHER FIREARM,Invest Cont,800    MAPLE                        AV,
2600,5/13/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,59,M,W,OTHER RESIDENCE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600 S  SAN PEDRO                    ST,
2601,5/13/2010 0:00,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",33,M,H,SWAP MEET,,Invest Cont,800 S  HILL                         ST,
2602,5/13/2010 0:00,Central,BATTERY - SIMPLE ASSAULT,21,M,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,12TH,MAPLE
2603,5/13/2010 0:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),57,F,B,MARKET,,Invest Cont,200 E  7TH                          ST,
